Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Dist_km,AVG_speed_km_per_hr,RANK_Annual_Boardings,Annual_Boardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours_with_Overc,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,Exchange_Connections,Rail_Connections,SHAPE__Length,TSPR_Year,OBJECTID,SHAPE__Length_2
247,UPPER CAPILANO/GROUSE MOUNTAIN/VANCOUVER,North Shore,Std. Bus,Peak Only Limited,78000,126000,10.9 km,25 km/h,175,88398,355,0,0,259,84%,306103,2834,Stadium-Chinatown; Vancouver City Centre,Canada Line; Expo/Millennium Line,27623.00676,2019,100,27623.00676
250,HORSESHOE BAY/DUNDARAVE/VANCOUVER,North Shore,Std. Bus,All Day Frequent,86000,136000,15.2 km,24 km/h,26,3797289,11177,10091,7900,11258,67%,7571025,70102,Horseshoe Bay; Park Royal; Stadium-Chinatown; Vancouver City Centre,Canada Line; Expo/Millennium Line,43366.36649,2019,101,43366.36649
251,QUEENS/PARK ROYAL,North Shore,Mini-Bus,Basic,16000,10000,9.8 km,26 km/h,162,128046,412,244,202,33,72%,599281,8685,Park Royal,None,17266.08206,2019,102,17266.08206
252,INGLEWOOD/PARK ROYAL,North Shore,Mini-Bus,Basic,15000,10000,6.6 km,22 km/h,177,86289,272,184,144,23,70%,513806,7446,Park Royal,None,13246.16866,2019,103,13246.16866
253,CAULFEILD/VANCOUVER/PARK ROYAL,North Shore,Std. Bus,Basic,85000,135000,13.5 km,27 km/h,117,470328,1734,393,284,1948,69%,1220292,11299,Caulfeild; Park Royal; Stadium-Chinatown; Vancouver City Centre,Canada Line; Expo/Millennium Line,46138.96698,2019,104,46138.96698
254,BRITISH PROPERTIES/PARK ROYAL/VANCOUVER,North Shore,Std. Bus,Basic,82000,133000,10 km,30 km/h,133,276313,969,366,256,766,63%,817877,7573,Park Royal; Stadium-Chinatown; Vancouver City Centre,Canada Line; Expo/Millennium Line,49018.14377,2019,105,49018.14377
255,DUNDARAVE/CAPILANO UNIVERSITY,North Shore,Std. Bus,Peak Frequent,58000,27000,16.5 km,22 km/h,60,1460830,4762,2802,2030,2136,54%,3079004,28509,Capilano University; Lynn Valley Centre NightBus; Park Royal,None,40000.9537,2019,106,40000.9537
256,FOLKSTONE WAY/WHITBY ESTATE/SPURAWAY,North Shore,Mini-Bus,Basic,18000,9000,7.9 km,21 km/h,172,107208,308,303,239,2,65%,365936,5303,Park Royal,None,20480.73948,2019,107,20480.73948
257,HORSESHOE BAY/VANCOUVER EXPRESS,North Shore,Artic. Bus,Standard,63000,129000,21.8 km,36 km/h,54,1753440,4840,4660,4821,3014,79%,3138577,29061,Horseshoe Bay; Park Royal; Stadium-Chinatown; Vancouver City Centre,Canada Line; Expo/Millennium Line,56160.3074,2019,108,56160.3074
258,UBC/WEST VANCOUVER,North Shore,Std. Bus,Peak Only Limited,30000,54000,18.8 km,28 km/h,199,29942,185,0,0,11,91%,255083,2362,Park Royal; UBC,None,45603.01098,2019,109,45603.01098
