Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Dist_km,AVG_speed_km_per_hr,RANK_Annual_Boardings,Annual_Boardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours_with_Overc,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,Exchange_Connections,Rail_Connections,SHAPE__Length,TSPR_Year,OBJECTID,SHAPE__Length_2
733,ROCK RIDGE/HANEY PL/PT HANEY STN,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,20000,9000,7.8 km,28 km/h,181,42137,131,90,73,2,92%,527017,7638,Haney Place; Port Haney,West Coast Express,18550.64691,2022,399,18550.64693
741,ANDERSON CREEK/HANEY PL/PT HANEY ST,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,18000,9000,7.7 km,28 km/h,179,44966,144,86,72,1,91%,509283,7381,Haney Place; Port Haney,West Coast Express,19646.22882,2022,400,19646.22885
743,HANEY PL/MAPLE MDWS STN/MEADOWTOWN,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,32000,13000,7.7 km,26 km/h,183,38510,140,60,4,0,84%,741062,10740,Haney Place; Maple Meadows; Meadowtown; Port Haney,West Coast Express,21590.00886,2022,401,21590.0084
744,HANEY PL/MAPLE MDWS STN/MEADOWTOWN,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,36000,16000,11.3 km,25 km/h,173,58065,212,93,0,5,80%,726838,10534,Haney Place; Maple Meadows; Meadowtown,West Coast Express,19232.56426,2022,402,19232.56472
745/746,COTTONWOOD– ALBION/HANEY PLACE,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,35000,12000,10.9 km,30 km/h,145,146868,518,151,147,32,81%,1004135,14553,Haney Place; Port Haney,West Coast Express,39040.43849,2022,403,39040.43834
748,THORNHILL/HANEY PLACE,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,20000,9000,19.6 km,37 km/h,197,12884,45,29,0,0,72%,195255,2830,Haney Place; Port Haney,West Coast Express,40991.87422,2022,404,40991.87413
749,RUSKIN/HANEY PLACE,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,15000,8000,17.4 km,40 km/h,198,11755,42,25,0,0,75%,175199,2539,Haney Place,None,47075.00445,2022,405,47075.00449
791,HANEY PLACE/BRAID STN,Maple Ridge/Pitt Meadows,Std. Bus,Basic,39000,28000,26.5 km,32 km/h,105,460851,1836,0,0,144,82%,2170748,20100,Braid; Haney Place; Maple Meadows; Pitt Meadows,Expo/Millennium Line; West Coast Express,66934.95979,2022,406,66934.84883
42,ALMA/SPANISH BANKS,Vancouver/UBC,Mini-Bus,Seasonal - Limited,9000,3000,3.6 km,25 km/h,203,6285,0,181,179,0,93%,34457,499,None,None,7101.419137,2022,407,7101.419114
132,CAPITOL HILL/HASTINGS AT GILMORE,Burnaby/New Westminster,Mini-Bus,Basic,14000,4000,3.8 km,22 km/h,188,28627,89,61,51,0,83%,176024,2551,None,None,6925.443854,2022,408,6925.444042
231,HARBOURSIDE/LONSDALE QUAY,North Shore,Std. Bus,Peak Only - Limited,16000,15000,2.6 km,15 km/h,196,12914,51,0,0,0,92%,129821,1202,Lonsdale Quay,None,4192.359785,2022,409,4192.359995
370,CLOVERDALE/WILLOWBROOK,Southeast,Mini-Bus,Basic,31000,13000,11 km,23 km/h,157,87762,311,75,93,0,%,506837,7345,None,None,19065.00106,2022,410,19065.00133
SeaBus,WATERFRONT STN/LONSDALE QUAY,North Shore,SeaBus,Special,29700,103500,3.2 km,,6,4684437,12824,14970,11086,,,,62100,Lonsdale Quay; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,4875.608876,2022,411,4875.608835
68,UBC EXCHANGE/WESBROOK VILLAGE,Vancouver/UBC,Mini-Bus,Basic,15000,17000,6.1 km,24 km/h,114,380273,1047,1088,983,54,70%,927485,13442,UBC,None,13685.76722,2022,412,13685.76732
R2,MARINE DR,North Shore,Artic. Bus,All Day Frequent,30000,32000,10.2 km,19 km/h,39,1675724,4912,4324,3514,37,90%,5334167,49390,Lonsdale Quay; Park Royal; Phibbs,None,19863.585,2022,413,19863.58526
222,METROTOWN STATION/PHIBBS EXCHANGE,North Shore,Std. Bus,Peak Only - Limited,61000,45000,11.8 km,25 km/h,87,668329,2663,0,0,509,90%,1821274,16864,Brentwood Town Centre; Kootenay; Metrotown; Phibbs,Expo/Millennium Line,30448.7189,2022,414,30448.71878
R1,KING GEORGE BLVD,Southeast,Artic. Bus,All Day Frequent,55000,24000,11.3 km,22 km/h,10,4125755,12255,10088,8470,5245,85%,5883318,54475,Guildford; King George; Newton; Surrey Central,Expo/Millennium Line,32189.75007,2022,415,32189.75039
350,WHITE ROCK CTR/CRESCENT BEACH,Southeast,Std. Bus,Standard,29000,10000,9.1 km,31 km/h,142,153536,432,439,358,0,95%,1999321,18512,White Rock Centre,None,16778.28064,2022,416,16778.2799
R4,41ST AVE,Vancouver/UBC,Artic. Bus,All Day Frequent,76000,34000,19.3 km,27 km/h,2,7769714,24313,16784,12813,20388,90%,11975846,110887,Dunbar; Joyce-Collingwood; Oakridge-41st Avenue; UBC,Expo/Millennium Line,47357.88152,2022,417,47357.88147
R5,HASTINGS STREET,Burnaby/New Westminster,Artic. Bus,All Day Frequent,79000,144000,12 km,24 km/h,8,4359907,13556,9511,7465,7841,81%,9070074,83982,Burrard; Kootenay; SFU; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,40132.4615,2022,418,40132.46159
R3,LOUGHEED HWY,Maple Ridge/Pitt Meadows,Artic. Bus,All Day Frequent,25000,16000,17.3 km,36 km/h,73,810963,2439,1933,1584,7,94%,4828579,44709,Coquitlam Central; Haney Place,Expo/Millennium Line; West Coast Express,44874.45515,2022,419,44874.45545
31,METROTOWN STATION/RIVER DISTRICT,Vancouver/UBC,Mini-Bus,Standard,49000,24000,5.4 km,23 km/h,137,185434,561,450,342,59,83%,506783,7345,Metrotown,Expo/Millennium Line,10955.64904,2022,420,10955.64897
245,PHIBBS/CAPILANO,North Shore,Std. Bus,Peak Frequent,6000,7000,4 km,24 km/h,110,421355,1582,269,166,103,93%,1834450,16986,Capilano University; Phibbs,None,7608.220097,2022,421,7608.219894
2,MACDONALD/BURRARD STN,Vancouver/UBC,Std. Bus,All Day Frequent,93000,167000,8.6,18 km/h,20,3478610,10374,8770,6760,12,85%,6711208,54794,Burrard; Dunbar,Expo/Millennium Line,20806.0846,2023,422,20806.0846
3,MAIN/WATERFRONT STN,Vancouver/UBC,Artic. Trolley,All Day Frequent,86000,151000,10.5,14 km/h,16,3623075,10560,9598,7651,1,76%,6169846,54475,Main Street-Science World; Marine Drive; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,22572.01023,2023,423,22572.01023
4,POWELL/DOWNTOWN/UBC,Vancouver/UBC,Std. Trolley,Peak Frequent,135000,233000,13,18 km/h,33,2244939,6549,5913,4744,6,76%,6707529,60680,Blanca; Granville; NightBus District; UBC; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,46162.71077,2023,424,46162.71077
005/006,ROBSON/DOWNTOWN/DAVIE,Vancouver/UBC,Std. Trolley,All Day Frequent,125000,196000,2.9,10 km/h,10,4528470,13204,11819,9683,9,83%,8618773,80589,Burrard; Stadium-Chinatown; Yaletown-Roundhouse,Canada Line; Expo/Millennium Line,11317.89859,2023,425,11317.89859
7,NANAIMO STN/DUNBAR,Vancouver/UBC,Std. Trolley,Peak Frequent,158000,226000,15.4,17 km/h,17,3572134,10553,9240,7156,3,66%,8275104,75617,Dunbar; Granville; Nanaimo; NightBus District; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,42065.66403,2023,426,42065.66403
8,FRASER/WATERFRONT STN,Vancouver/UBC,Artic. Trolley,All Day Frequent,87000,150000,7.2,14 km/h,26,2997744,8854,7525,6195,1,74%,5458270,50004,Main Street-Science World; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,19962.39624,2023,427,19962.39624
9,BDRY/COMM-BWY/GRAN/ALMA/UBC,Vancouver/UBC,Std. Bus,All Day Frequent,116000,112000,9.2,16 km/h,14,3864561,11598,8728,8023,11,83%,9465116,77033,Boundary; Broadway-City Hall; Commercial-Broadway; UBC,Canada Line; Expo/Millennium Line,32976.69775,2023,428,32976.69775
10,GRANVILLE/WATERFRONT STN,Vancouver/UBC,Artic. Trolley,All Day Frequent,109000,203000,11.6,16 km/h,24,3041880,9306,6835,5635,0,72%,6215234,54654,Granville; Marine Drive; Marpole; NightBus District; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,31287.91172,2023,429,31287.91172
14,HASTINGS/UBC,Vancouver/UBC,Std. Trolley,All Day Frequent,157000,250000,14,17 km/h,23,3128908,8777,9319,7161,7,73%,9219388,81999,Blanca; Granville; Kootenay; NightBus District; UBC; Vancouver City Centre,Canada Line; Expo/Millennium Line,42302.35118,2023,430,42302.35118
015/050,CAMBIE/OLYMPIC VILLAGE STN/WATERFRONT STN/FALSE CREEK SOUTH,Vancouver/UBC,Std. Bus,Peak Frequent,139000,249000,7.1,16 km/h,30,2465765,7111,6572,5478,3,77%,6211980,57697,Broadway-City Hall; Granville; King Edward; Langara-49th Avenue; Marine Drive; NightBus District; Oakridge-41st Avenue; Olympic Village; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,40758.90114,2023,431,40758.90114
16,29TH AVENUE STN/ARBUTUS,Vancouver/UBC,Std. Trolley,All Day Frequent,164000,248000,18.4,16 km/h,7,5346397,15951,13178,10600,7,77%,10987222,100400,29th Avenue; Granville; NightBus District; Renfrew; Vancouver City Centre,Canada Line; Expo/Millennium Line,45093.75672,2023,432,45093.75672
17,DOWNTOWN/OAK,Vancouver/UBC,Std. Trolley,All Day Frequent,103000,217000,11.5,16 km/h,36,2140839,6518,4772,4123,2,71%,5286047,46864,Broadway-City Hall; Granville; Marine Drive; Vancouver City Centre,Canada Line; Expo/Millennium Line,27395.67623,2023,433,27395.67623
19,METROTOWN STN/STANLEY PARK,Vancouver/UBC,Std. Trolley,All Day Frequent,155000,219000,10.6,14 km/h,11,4487054,12637,12277,10930,5,70%,9455227,87478,Burrard; Main Street-Science World; Metrotown; Stanley Park,Expo/Millennium Line,28000.07039,2023,434,28000.07039
20,VICTORIA/DOWNTOWN,Vancouver/UBC,Artic. Trolley,All Day Frequent,109000,194000,8.7,14 km/h,12,4438302,13271,10596,8955,1,78%,8078562,69914,Commercial-Broadway; Granville; Vancouver City Centre,Canada Line; Expo/Millennium Line,21331.73094,2023,435,21331.73094
22,KNIGHT/DOWNTOWN,Vancouver/UBC,Std. Bus,All Day Frequent,110000,197000,10.5,16 km/h,28,2803199,8617,6157,5142,7,84%,6328894,59245,Burrard; Knight Street-Marine Drive; Main Street-Science World,Expo/Millennium Line,39418.72849,2023,436,39418.72849
23,MAIN ST STN/ENGLISH BAY,Vancouver/UBC,Mini-Bus,All Day Frequent,104000,105000,5.5,15 km/h,56,1383566,4062,3603,2852,1,82%,2502085,43552,Main Street-Science World; Stadium-Chinatown; Yaletown-Roundhouse,Canada Line; Expo/Millennium Line,13951.23672,2023,437,13951.23672
25,BRENTWOOD STN/UBC,Vancouver/UBC,Std. Bus,All Day Frequent,107000,60000,18.3,21 km/h,5,6644351,20856,13921,10993,28,77%,12000638,112713,Brentwood Town Centre; King Edward; Nanaimo; UBC,Canada Line; Expo/Millennium Line,59843.4982,2023,438,59843.4982
26,JOYCE STN/29TH AVENUE STN,Vancouver/UBC,Std. Bus,Peak Frequent,60000,11000,10.8,20 km/h,61,1239542,3943,2574,1859,0,91%,2951485,27218,29th Avenue; Joyce-Collingwood,Expo/Millennium Line,19092.46187,2023,439,19092.46187
27,KOOTENAY LOOP/JOYCE STN,Vancouver/UBC,Std. Bus,Peak Frequent,58000,21000,5.7,17 km/h,65,1163865,3539,2840,2062,0,88%,2093618,19448,Joyce-Collingwood; Kootenay; Rupert,Expo/Millennium Line,19823.11172,2023,440,19823.11172
28,PHIBBS EXCH/JOYCE STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,60000,32000,7.2,22 km/h,48,1617698,5022,3378,2908,1,82%,3563545,33767,Gilmore; Joyce-Collingwood; Kootenay; Phibbs,Expo/Millennium Line,29921.79767,2023,441,29921.79767
29,ELLIOTT/29TH AVENUE STN,Vancouver/UBC,Std. Bus,Peak Frequent,31000,4000,4.5,18 km/h,101,653194,2033,1468,1073,1,91%,1216024,11521,29th Avenue,Expo/Millennium Line,7372.395133,2023,442,7372.395133
33,29 AVE STN/ UBC,Vancouver/UBC,Std. Bus,Peak Frequent,93000,36000,17.9,21 km/h,34,2239715,7246,4109,3305,14,78%,4547934,42579,29th Avenue; King Edward; UBC,Canada Line; Expo/Millennium Line,40278.88258,2023,443,40278.88258
41,JOYCE STN/CROWN,Vancouver/UBC,Std. Trolley,All Day Frequent,79000,22000,8.4,20 km/h,38,2066885,5637,5890,5583,1,85%,5372942,49781,Dunbar; Joyce-Collingwood; Oakridge-41st Avenue,Canada Line; Expo/Millennium Line,27300.00571,2023,444,27300.00571
44,UBC/DOWNTOWN,Vancouver/UBC,Artic. Bus,Peak Frequent,109000,207000,17,22 km/h,72,1101738,4372,0,0,5,80%,1851671,17867,Burrard; Park Royal; UBC; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,46176.48877,2023,445,46176.48877
49,METROTOWN STN/DUNBAR LOOP/UBC,Vancouver/UBC,Artic. Bus,All Day Frequent,101000,80000,15.2,22 km/h,3,8474435,26718,16820,14293,25,76%,12012080,112003,Dunbar; Langara-49th Avenue; Metrotown; UBC,Canada Line; Expo/Millennium Line,43769.85936,2023,446,43769.85936
84,UBC/VCC-CLARK STATION,Vancouver/UBC,Artic. Bus,Peak Frequent,79000,92000,13.7,23 km/h,32,2292827,7646,4368,2346,7,81%,4167713,35472,Olympic Village; UBC; VCC-Clark,Canada Line; Expo/Millennium Line,29058.53594,2023,447,29058.53594
99,COMMERCIAL-BROADWAY/UBC (B-LINE),Vancouver/UBC,Artic. Bus,All Day Frequent,94000,101000,13.8,21 km/h,1,11304971,35901,23717,17016,24,80%,14749254,118961,Boundary; Broadway-City Hall; Commercial-Broadway; UBC,Canada Line; Expo/Millennium Line,31566.37172,2023,448,31566.37172
100,22ND ST STN/MARPOLE LOOP,Vancouver/UBC,Std. Bus,All Day Frequent,56000,32000,16.5,24 km/h,18,3570442,10767,8149,7137,8,87%,7619749,68188,22nd Street; Knight Street-Marine Drive; Marine Drive; Marpole,Canada Line; Expo/Millennium Line,42066.86556,2023,449,42066.86556
101,LOUGHEED STN/22ND ST STN,Burnaby/New Westminster,Std. Bus,Standard,77000,27000,9.5,21 km/h,78,931962,2951,1843,1527,2,79%,2388155,22367,22nd Street; Edmonds; Lougheed Town Centre,Expo/Millennium Line,23590.35962,2023,450,23590.35962
104,22ND ST STN/ANNACIS ISLAND,Southeast,Std. Bus,Peak Frequent,13000,15000,8.1,26 km/h,83,895718,3088,1306,831,6,81%,1899527,18626,22nd Street,Expo/Millennium Line,27643.93471,2023,451,27643.93471
105,UPTOWN/NEW WESTMINSTER STATION,Burnaby/New Westminster,Mini-Bus,Standard,40000,18000,6.8,18 km/h,135,261381,791,648,472,0,75%,873377,12646,Columbia; New Westminster,Expo/Millennium Line,14314.8308,2023,452,14314.8308
106,NEW WESTMINSTER STN/EDMONDS STN,Burnaby/New Westminster,Std. Bus,All Day Frequent,59000,24000,6.3,15 km/h,25,3027129,9205,7309,5429,9,87%,3861542,37186,Edmonds; New Westminster,Expo/Millennium Line,10849.73362,2023,453,10849.73362
109,NEW WESTMINSTER STN/LOUGHEED STN,Burnaby/New Westminster,Mini-Bus,Basic,51000,27000,7.3,21 km/h,150,139794,436,290,245,0,92%,688698,10022,Columbia; Lougheed Town Centre; New Westminster; Sapperton,Expo/Millennium Line,12061.27286,2023,454,12061.27286
110,LOUGHEED STN/METROTOWN STN,Burnaby/New Westminster,Std. Bus,Standard,79000,53000,11.9,23 km/h,82,908091,2917,1642,1442,1,84%,3383442,31775,Lougheed Town Centre; Metrotown; Patterson; Production Way-University; Sperling-Burnaby Lake,Expo/Millennium Line,39186.05216,2023,455,39186.05216
112,EDMONDS STN/NEW WEST STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,49000,18000,4.2,17 km/h,69,1140155,3587,2572,1710,1,95%,2014423,19157,Edmonds; New Westminster,Expo/Millennium Line,9072.153441,2023,456,9072.153441
116,EDMONDS STN/METROTOWN STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,55000,49000,15.3,25 km/h,64,1201572,4219,1409,1077,3,89%,3129565,30524,Edmonds; Metrotown,Expo/Millennium Line,36748.14452,2023,457,36748.14452
119,EDMONDS STN/METROTOWN STN,Burnaby/New Westminster,Std. Bus,All Day Frequent,68000,41000,5.7,17 km/h,42,1932989,5734,4786,3947,2,94%,3262043,30158,Edmonds; Metrotown,Expo/Millennium Line,9188.355389,2023,458,9188.355389
123,NEW WEST STN/BRENTWOOD STN,Burnaby/New Westminster,Std. Bus,All Day Frequent,67000,50000,7.2,20 km/h,39,2049653,6331,4427,3695,4,87%,4459387,40844,Brentwood Town Centre; New Westminster,Expo/Millennium Line,23168.49737,2023,459,23168.49737
128,BRAID STN/22ND STREET STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,28000,13000,5.5,21 km/h,92,812688,2699,1386,1006,1,93%,1955923,19479,22nd Street; Braid,Expo/Millennium Line,11435.20703,2023,460,11435.20703
129/133,PATTERSON STN/HOLDOM STN/EDMONDS STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,121000,71000,9.9,20 km/h,43,1796068,5780,3383,2706,1,78%,4692654,43341,Edmonds; Gilmore; Holdom; Metrotown; Patterson,Expo/Millennium Line,37041.30286,2023,461,37041.30286
130,METROTOWN/PENDER/KOOTENAY,Burnaby/New Westminster,Std. Bus,All Day Frequent,74000,61000,8.3,18 km/h,22,3180231,9885,7098,5305,6,76%,5213284,50520,Brentwood Town Centre; Kootenay; Metrotown; Phibbs,Expo/Millennium Line,30916.55784,2023,462,30916.55784
131,HASTINGS AT GILMORE/KOOTENAY LOOP,Burnaby/New Westminster,Mini-Bus,Basic,20000,6000,4.5,20 km/h,180,36372,116,67,58,0,83%,388469,5617,Kootenay,None,8954.284787,2023,463,8954.284787
134,LAKE CITY STN/BRENTWOOD STN,Burnaby/New Westminster,Std. Bus,Standard,45000,29000,9.7,24 km/h,118,461000,1400,1020,906,1,82%,1875190,18988,Brentwood Town Centre; Lake City Way; Sperling-Burnaby Lake,Expo/Millennium Line,31458.24023,2023,464,31458.24023
136,LOUGHEED STN/BRENTWOOD STN,Burnaby/New Westminster,Std. Bus,Standard,63000,31000,12.9,26 km/h,122,419856,1289,922,776,0,80%,1997044,20504,Brentwood Town Centre; Holdom; Lougheed Town Centre; Production Way-University,Expo/Millennium Line,34654.5315,2023,465,34654.5315
143,BURQUITLAM STN/SFU,Northeast Sector,Artic. Bus,Peak Frequent,19000,5000,7,31 km/h,120,452941,1797,0,0,0,94%,1144003,9870,Burquitlam; SFU,Expo/Millennium Line,17810.23983,2023,466,17810.23983
144,SFU/METROTOWN STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,65000,39000,15,25 km/h,49,1531841,4934,2991,2205,2,85%,4400883,41102,Metrotown; SFU; Sperling-Burnaby Lake,Expo/Millennium Line,38961.03489,2023,467,38961.03489
145,SFU/PRODUCTION STN,Burnaby/New Westminster,Artic. Bus,Peak Frequent,11000,8000,8.1,31 km/h,50,1464344,5091,1856,1406,2,96%,3060437,26083,Production Way-University; SFU,Expo/Millennium Line,21713.66186,2023,468,21713.66186
146,METROTOWN STN/SUNCREST,Burnaby/New Westminster,Mini-Bus,Standard,32000,31000,3.4,22 km/h,158,98273,302,212,183,0,85%,393010,6185,Metrotown,Expo/Millennium Line,7664.294463,2023,469,7664.294463
147,METROTOWN STN/EDMONDS STN,Burnaby/New Westminster,Mini-Bus,Peak Frequent,60000,33000,6.7,22 km/h,117,461923,1425,1008,833,1,95%,1103161,17127,Edmonds; Metrotown,Expo/Millennium Line,11401.75951,2023,470,11401.75951
148,ROYAL OAK STN/EDMONDS STN,Burnaby/New Westminster,Mini-Bus,Peak Frequent,40000,16000,6.3,27 km/h,126,374435,1181,702,661,0,87%,797451,11763,Edmonds; Royal Oak,Expo/Millennium Line,10609.24724,2023,471,10609.24724
151,COQUITLAM CTRL STN/BURQUITLAM STN,Northeast Sector,Std. Bus,Standard,40000,10000,7.9,28 km/h,124,391815,1223,810,685,0,93%,1676540,15496,Burquitlam; Coquitlam Central,Expo/Millennium Line; West Coast Express,20317.70844,2023,472,20317.70844
152,COQUITLAM CENTRAL STN/LOUGHEED STN,Northeast Sector,Std. Bus,Peak Frequent,50000,21000,13.1,25 km/h,80,915786,2935,1746,1411,1,92%,2420260,22541,Coquitlam Central; Lougheed Town Centre,Expo/Millennium Line; West Coast Express,32164.60797,2023,473,32164.60797
153,COQUITLAM CENTRAL STN/BRAID STN,Northeast Sector,Std. Bus,Peak Frequent,32000,18000,9.8,26 km/h,103,636820,2143,946,785,0,89%,2098341,21141,Braid; Coquitlam Central,Expo/Millennium Line; West Coast Express,21722.13484,2023,474,21722.13484
155,BRAID STN/22ND STREET  STN,Burnaby/New Westminster,Std. Bus,Standard,36000,18000,7.5,19 km/h,100,657002,2000,1539,1209,0,88%,1716910,16141,22nd Street; Braid,Expo/Millennium Line,12410.59172,2023,475,12410.59172
156,BRAID STN/LOUGHEED STN,Northeast Sector,Std. Bus,Basic,60000,24000,15.1,24 km/h,95,699696,2238,1655,839,1,83%,2225725,20542,Braid; Burquitlam; Lougheed Town Centre,Expo/Millennium Line,26834.18551,2023,476,26834.18551
157,BURQUITLAM STN/LOUGHEED STN,Northeast Sector,Mini-Bus,Standard,46000,17000,11.2,24 km/h,112,489895,1493,1085,942,0,89%,1568326,18492,Burquitlam; Lougheed Town Centre,Expo/Millennium Line,20800.73045,2023,477,20800.73045
159,COQUITLAM CENTRAL STN/BRAID STN,Northeast Sector,Std. Bus,Basic,42000,35000,16.6,26 km/h,94,709409,2303,1533,831,1,82%,2910476,26602,Braid; Coquitlam Central; Port Coquitlam,Expo/Millennium Line; West Coast Express,45981.26816,2023,478,45981.26816
160,PORT COQUITLAM STN/KOOTENAY LOOP,Northeast Sector,Std. Bus,All Day Frequent,90000,36000,26.1,26 km/h,59,1268056,3820,2989,2476,0,77%,6819111,63148,Coquitlam Central; Inlet Centre; Kootenay; Lafarge Lake-Douglas; Lincoln; Moody Centre; Port Coquitlam,Expo/Millennium Line; West Coast Express,65199.98379,2023,479,65199.98379
169,COQUITLAM CENTRAL STN/BRAID STN,Northeast Sector,Mini-Bus,Standard,20000,17000,11.1,29 km/h,129,287391,760,852,847,0,92%,1232335,15599,Braid; Coquitlam Central,Expo/Millennium Line; West Coast Express,29076.44036,2023,480,29076.44036
170,PT COQUITLAM STN/PT COQUITLAM SOUTH,Northeast Sector,Mini-Bus,Peak Frequent,19000,6000,4.4,23 km/h,165,89648,306,128,96,0,92%,635036,9211,Port Coquitlam,West Coast Express,12476.92819,2023,481,12476.92819
171/172,COQUITLAM CENTRAL STN/RIVERSIDE/FREMONT,Northeast Sector,Mini-Bus,Basic,36000,15000,8.8,26 km/h,110,532578,1737,1130,609,0,87%,1875192,27589,Coquitlam Central,Expo/Millennium Line; West Coast Express,31606.55477,2023,482,31606.55477
173/174,COQUITLAM CENTRAL STN/CEDAR/ROCKLIN,Northeast Sector,Mini-Bus,Basic,46000,15000,10.9,24 km/h,125,389928,1279,776,456,0,80%,2454023,35933,Coquitlam Central; Port Coquitlam,Expo/Millennium Line; West Coast Express,31558.67396,2023,483,31558.67396
175,COQUITLAM CENTRAL STN/MERIDIAN,Northeast Sector,Mini-Bus,Peak Only - Limited,26000,24000,7.4,22 km/h,159,96248,382,0,0,0,80%,415211,5993,Coquitlam Central; Port Coquitlam,Expo/Millennium Line; West Coast Express,17754.91694,2023,484,17754.91694
179,COQUITLAM CENTRAL STN/BUNTZEN LAKE,Northeast Sector,Std. Bus,Special,29000,14000,12,30 km/h,188,13898,0,321,339,0,73%,76889,980,Coquitlam Central; Inlet Centre,Expo/Millennium Line; West Coast Express,23816.28942,2023,485,23816.28942
180,MOODY CTR STN/LOUGHEED STN,Northeast Sector,Mini-Bus,Peak Frequent,47000,14000,9.8,23 km/h,96,698816,2301,1168,963,0,89%,2307460,28245,Burquitlam; Lougheed Town Centre; Moody Centre,Expo/Millennium Line; West Coast Express,19371.11913,2023,486,19371.11913
181,MOODY CTR STN/IOCO,Northeast Sector,Mini-Bus,Basic,18000,8000,12.3,32 km/h,174,59881,197,106,77,0,89%,483298,7248,Moody Centre,Expo/Millennium Line; West Coast Express,29676.434,2023,487,29676.434
182,MOODY CTR STN/BELCARRA,Northeast Sector,Mini-Bus,Basic,23000,8000,19.3,34 km/h,155,106540,333,219,185,0,80%,900376,13760,Moody Centre,Expo/Millennium Line; West Coast Express,32886.24039,2023,488,32886.24039
183,MOODY CTR STN/COQUITLAM CENTRAL STN,Northeast Sector,Std. Bus,Peak Frequent,66000,21000,13.3,25 km/h,116,479131,1582,810,636,0,87%,2740231,30034,Coquitlam Central; Inlet Centre; Lafarge Lake-Douglas; Lincoln; Moody Centre,Expo/Millennium Line; West Coast Express,26726.54704,2023,489,26726.54704
184/185,COQUITLAM CENTRAL STN/LANSDOWNE/MOODY CTR STN/NOONS CREEK,Northeast Sector,Mini-Bus,Peak Frequent,40000,17000,5.3,25 km/h,139,220931,737,366,268,0,91%,1458260,21015,Coquitlam Central; Inlet Centre; Moody Centre,Expo/Millennium Line; West Coast Express,19585.63547,2023,490,19585.63547
186,COQUITLAM CENTRAL STN/HAMPTON PARK,Northeast Sector,Mini-Bus,Peak Frequent,39000,12000,6.5,24 km/h,136,247325,777,527,400,1,90%,845912,12448,Coquitlam Central; Lafarge Lake-Douglas; Lincoln,Expo/Millennium Line; West Coast Express,15677.75206,2023,491,15677.75206
187,COQUITLAM CENTRAL STN/PARKWAY BLVD,Northeast Sector,Mini-Bus,Peak Frequent,29000,9000,6.5,24 km/h,133,266694,860,492,404,0,89%,948494,14488,Coquitlam Central,Expo/Millennium Line; West Coast Express,19709.30791,2023,492,19709.30791
188,COQUITLAM CENTRAL STN/PORT COQ STN,Northeast Sector,Std. Bus,Peak Frequent,62000,19000,12.6,26 km/h,104,615536,1986,1142,922,1,90%,2725301,25351,Coquitlam Central; Lafarge Lake-Douglas; Lincoln; Port Coquitlam,Expo/Millennium Line; West Coast Express,27215.45512,2023,493,27215.45512
189,COQUITLAM CENTRAL STN/LAFARGE PARK,Northeast Sector,Mini-Bus,Standard,22000,9000,4.1,20 km/h,162,93817,298,179,156,0,92%,620567,7580,Coquitlam Central,Expo/Millennium Line; West Coast Express,9306.995423,2023,494,9306.995423
191,COQUITLAM CENTRAL STN/PRINCETON,Northeast Sector,Std. Bus,Standard,41000,13000,7.2,23 km/h,138,243287,769,484,400,0,84%,1071518,9763,Coquitlam Central; Lafarge Lake-Douglas,Expo/Millennium Line; West Coast Express,20946.84394,2023,495,20946.84394
209,UPPER LYNN VALLEY/BURRARD STATION,North Shore,Std. Bus,Special,86000,182000,14.9,25 km/h,149,143798,397,451,336,0,84%,843487,7821,Burrard; Lynn Valley Centre NightBus; NightBus District; Phibbs,Expo/Millennium Line,39191.70582,2023,496,39191.70582
